Slug,Name,State,Coverage Status,Key Towns,SEO Title,Meta Description
utah,Utah,Utah,Statewide,"St. George, Cedar City, Kanab, Parowan, Fillmore, Beaver, Richfield, Monticello",Is Utah Covered Under RECA? Every County Qualifies,"All Utah counties are covered under the 2025 RECA reauthorization. Covered conditions, filing deadline, and a free eligibility check with no email required."
new-mexico,New Mexico,New Mexico,Statewide,"Tularosa, Alamogordo, Carrizozo, Socorro, Ruidoso, Grants, Gallup, Shiprock",Is New Mexico Covered Under RECA? Every County Qualifies,"All New Mexico counties are covered under the 2025 RECA reauthorization, including Trinity test downwinders. Free eligibility check, no email required."
idaho,Idaho,Idaho,Statewide,"Boise, Idaho Falls, Pocatello, Twin Falls, Blackfoot, Rexburg",Is Idaho Covered Under RECA? Every County Qualifies,All Idaho counties became covered under the 2025 RECA reauthorization. Most Idaho families have not heard of the program. Free eligibility check.
arizona,Arizona,Arizona,Six counties only,"Flagstaff, Kingman, Prescott, Winslow, Globe, Window Rock",Which Arizona Counties Are Covered Under RECA?,"Only six Arizona counties are covered: Coconino, Yavapai, Navajo, Apache, Gila and Mohave. Phoenix and Tucson are not covered. Free eligibility check."
arizona/coconino-county,Coconino County,Arizona,Covered,"Flagstaff, Page, Williams, Tuba City, Fredonia",Coconino County RECA Claims: Covered Area Guide,"Coconino County, Arizona is a covered RECA downwinder area. Flagstaff, Page, Williams and Tuba City residents may qualify. Free eligibility check."
arizona/mohave-county,Mohave County,Arizona,Covered,"Kingman, Bullhead City, Lake Havasu City, Colorado City",Mohave County RECA Claims: Covered Area Guide,"Mohave County, Arizona is a covered RECA downwinder area. Kingman, Bullhead City and Colorado City residents may qualify. Free eligibility check."
arizona/navajo-county,Navajo County,Arizona,Covered,"Winslow, Holbrook, Show Low, Kayenta, Pinetop-Lakeside",Navajo County RECA Claims: Covered Area Guide,"Navajo County, Arizona is a covered RECA downwinder area. Winslow, Holbrook and Kayenta residents may qualify. Free eligibility check, no email."
arizona/apache-county,Apache County,Arizona,Covered,"St. Johns, Chinle, Window Rock, Ganado, Springerville",Apache County RECA Claims: Covered Area Guide,"Apache County, Arizona is a covered RECA downwinder area. St. Johns, Chinle and Window Rock residents may qualify. Free eligibility check."
arizona/yavapai-county,Yavapai County,Arizona,Covered,"Prescott, Cottonwood, Camp Verde, Chino Valley",Yavapai County RECA Claims: Covered Area Guide,"Yavapai County, Arizona is a covered RECA downwinder area. Prescott, Cottonwood and Camp Verde residents may qualify. Free eligibility check."
arizona/gila-county,Gila County,Arizona,Covered,"Globe, Payson, Miami, Star Valley",Gila County RECA Claims: Covered Area Guide,"Gila County, Arizona is a covered RECA downwinder area. Globe, Payson and Miami residents may qualify. Free eligibility check, no email required."
nevada,Nevada,Nevada,Certain counties only,"Ely, Tonopah, Caliente, Pioche, Battle Mountain",Which Nevada Counties Are Covered Under RECA?,"Only certain Nevada counties are covered: Eureka, Lander, Lincoln, Nye, White Pine and part of Clark. Las Vegas is not covered. Free eligibility check."
nevada/lincoln-county,Lincoln County,Nevada,Covered,"Caliente, Panaca, Pioche, Alamo",Lincoln County NV RECA Claims: Covered Area Guide,"Lincoln County, Nevada is a covered RECA downwinder area. Caliente, Panaca and Pioche residents may qualify. Free eligibility check, no email."
nevada/nye-county,Nye County,Nevada,Covered,"Tonopah, Pahrump, Beatty, Amargosa Valley",Nye County NV RECA Claims: Covered Area Guide,"Nye County, Nevada is a covered RECA downwinder area. Tonopah, Pahrump and Beatty residents may qualify. Free eligibility check, no email required."
nevada/white-pine-county,White Pine County,Nevada,Covered,"Ely, Ruth, McGill, Lund",White Pine County NV RECA Claims: Covered Area Guide,"White Pine County, Nevada is a covered RECA downwinder area. Ely, Ruth and McGill residents may qualify. Free eligibility check, no email."
manhattan-project-waste,Manhattan Project Waste Areas,Multi-state,Covered,"St. Louis area MO, Oak Ridge area TN, Paducah area KY, Amchitka AK",Manhattan Project Waste RECA Claims: Who Is Covered,"Parts of Missouri, Tennessee, Kentucky and Alaska near Manhattan Project waste are covered under RECA. Newly added, most families have not heard. Free check."
not-covered,"Montana, Colorado and Guam",Not covered,NOT COVERED,"Billings, Denver, Hagatna","Is Montana, Colorado or Guam Covered Under RECA? No.","Montana, Colorado and Guam are not covered under the current RECA law. They were removed before passage. A 2026 bill would add them but has not passed."
nevada/eureka-county,Eureka County,Nevada,Covered,"Eureka, Crescent Valley, Beowawe",Eureka County NV RECA Claims: Covered Area Guide,"Eureka County, Nevada is a covered RECA downwinder area. Eureka and Crescent Valley residents may qualify. Free eligibility check, no email required."
nevada/lander-county,Lander County,Nevada,Covered,"Battle Mountain, Austin, Kingston",Lander County NV RECA Claims: Covered Area Guide,"Lander County, Nevada is a covered RECA downwinder area. Battle Mountain and Austin residents may qualify. Free eligibility check, no email required."
nevada/clark-county,Clark County (northeast corner only),Nevada,Certain counties only,"Moapa, Overton, Logandale, Bunkerville, Mesquite",Is Clark County Nevada Covered Under RECA? Partly.,"Only townships 13 to 16 at ranges 63 to 71 of Clark County are covered, the Moapa and Mesquite area. Las Vegas is not covered. Free eligibility check."
