Slug,Name,Category,SEO Title,Meta Description
downwinder-cancers,Downwinder Covered Cancers,Downwinder,Is My Cancer Covered Under RECA? Downwinder List,"The RECA downwinder covered cancer list, explained plainly. Which cancers qualify, which do not, and the ones families get wrong. Free eligibility check."
uranium-worker,Uranium Worker Conditions,Uranium worker,Uranium Worker RECA Claims: Covered Conditions,"Uranium miners, millers and ore transporters are covered for lung and kidney conditions, not only cancer. Silicosis and pulmonary fibrosis may qualify."
lung-disease,Lung Disease and Silicosis,Uranium worker,Does Silicosis or Pulmonary Fibrosis Qualify for RECA?,"Nonmalignant respiratory conditions including silicosis and pulmonary fibrosis may qualify uranium workers under RECA. Free eligibility check, no email."
kidney-disease,Kidney Disease and Nephritis,Uranium worker,Does Kidney Disease Qualify for RECA Compensation?,Chronic renal disease and nephritis may qualify uranium miners under RECA. Kidney and bladder are separate categories. Free eligibility check.
kidney-vs-bladder,Kidney vs Bladder Cancer,Both,Kidney vs Bladder Cancer Under RECA: Not the Same,Kidney and bladder cancer are separate RECA categories and are not interchangeable. This is the mistake that gets claims denied. Free eligibility check.
does-melanoma-qualify,Does Melanoma Qualify,Neither,"Does Melanoma Qualify for RECA? No, and Here Is Why","Melanoma does not qualify under RECA in any category. If someone told you any cancer counts, they were wrong. What to check instead. Free screener."
leukemia,Leukemia,Downwinder,Does Leukemia Qualify for RECA Compensation?,"Leukemia is among the RECA covered conditions for downwinders, with specific exclusions. Free eligibility check, no email required."
thyroid,Thyroid Cancer,Downwinder,Does Thyroid Cancer Qualify for RECA Compensation?,Thyroid cancer is among the RECA covered conditions for downwinders. One of the most common qualifying diagnoses. Free eligibility check.
multiple-myeloma,Multiple Myeloma and Lymphoma,Downwinder,Multiple Myeloma and Lymphoma Under RECA,"Multiple myeloma and certain lymphomas are among the RECA covered conditions for downwinders. Free eligibility check, no email required."
exposure-years,The Years That Qualify,Both,What Years Must You Have Lived There for RECA?,"Downwinders must have been present at least one year between January 1951 and November 1962. New Mexico reaches back to September 1944. Free eligibility check."
manhattan-project-waste-conditions,Manhattan Project Waste Conditions,Both,Manhattan Project Waste RECA: The 21 Covered Conditions,"Manhattan Project waste claims use a separate list of 21 conditions that includes bone and kidney cancer, with a two year onset rule. Free eligibility check."
breast-cancer,Breast Cancer,Downwinder,Does Breast Cancer Qualify for RECA Compensation?,"Primary cancer of the male or female breast is on the RECA downwinder covered list. Free eligibility check, no email required."
lung-cancer,Lung Cancer,Both,Does Lung Cancer Qualify for RECA Compensation?,Lung cancer is covered for downwinders and for uranium miners under two separate categories with different rules. Free eligibility check.
colon-cancer,Colon Cancer,Downwinder,Does Colon Cancer Qualify for RECA Compensation?,"Primary cancer of the colon is on the RECA downwinder covered list. Free eligibility check, no email required."
stomach-cancer,Stomach and Esophageal Cancer,Downwinder,Do Stomach and Esophageal Cancer Qualify for RECA?,Primary cancer of the stomach and of the esophagus are both on the RECA downwinder covered list. Free eligibility check.
bladder-cancer,Bladder Cancer,Downwinder,Does Bladder Cancer Qualify for RECA Compensation?,"Primary cancer of the urinary bladder is on the RECA downwinder list. Kidney cancer is not, and the two are often confused. Free eligibility check."
prostate-cancer,Prostate Cancer,Neither,"Does Prostate Cancer Qualify for RECA? No, and Here Is Why","Prostate cancer is not on the downwinder, uranium worker, or Manhattan Project waste list. What to check instead. Free eligibility check, no email."
